callerID,api_timestamp,depthLimit,filter,page,replyLimit,sort,totalCommentsFound,totalCommentsReturned,totalEditorsSelectionFound,totalEditorsSelectionReturned,totalParentCommentsFound,totalParentCommentsReturned,totalRecommendationsFound,totalRecommendationsReturned,totalReplyCommentsFound,totalReplyCommentsReturned,totalReporterReplyCommentsFound,totalReporterReplyCommentsReturned,article_id
,1564242487,2,,1,3,,59,38,3,3,37,25,13,7,22,13,0,0,0
,1564242501,2,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,1
,1564242507,2,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,2
,1564242513,2,,1,3,,86,38,0,0,52,25,69,31,34,13,0,0,3
,1564242533,2,,1,3,,43,28,0,0,32,25,21,11,11,3,0,0,4
,1564242547,2,,1,3,,257,33,11,7,138,25,176,17,119,8,0,0,5
,1564242586,2,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,6
,1564242600,2,,1,3,,151,25,10,5,131,25,81,12,20,0,0,0,8
,1564242640,2,,1,3,,25,25,0,0,19,19,21,21,6,6,0,0,9
,1564242647,2,,1,3,,136,35,6,3,79,25,90,20,57,10,0,0,10
,1564242673,2,,1,3,,46,26,1,1,31,25,18,12,15,1,0,0,11
,1564242687,2,,1,3,,172,25,10,1,115,25,129,18,57,0,0,0,12
,1564242720,2,,1,3,,104,40,6,6,60,25,52,28,44,15,0,0,13
,1564242740,2,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,14
,1564242747,2,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,15
,1564242753,2,,1,3,,57,35,0,0,37,25,41,25,20,10,0,0,16
,1564242766,2,,1,3,,14,14,0,0,10,10,7,7,4,4,0,0,17
,1564242773,2,,1,3,,108,36,0,0,60,25,88,25,48,11,0,0,18
,1564242793,2,,1,3,,29,26,0,0,19,19,15,14,10,7,0,0,19
,1564242800,2,,1,3,,41,34,0,0,29,25,11,9,12,9,0,0,20
,1564242813,2,,1,3,,18,18,0,0,16,16,7,7,2,2,0,0,21
,1564242820,2,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,22
,1564242826,2,,1,3,,145,29,5,0,76,25,89,18,69,4,0,0,23
,1564242853,2,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,24
,1564242860,2,,1,3,,111,34,5,4,60,25,72,23,51,9,0,0,25
,1564242880,2,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,26
,1564242886,2,,1,3,,366,27,8,0,205,25,154,5,161,2,0,0,27
,1564242948,2,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,28
,1564242955,2,,1,3,,66,36,4,3,34,25,44,24,32,11,0,0,29
,1564242968,2,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,30
,1564242975,2,,1,3,,297,35,10,1,145,25,227,34,152,10,0,0,31
,1564243015,2,,1,3,,173,28,10,4,113,25,149,25,60,3,0,0,32
,1564243049,2,,1,3,,270,25,10,0,177,25,190,13,93,0,0,0,33
,1564243103,2,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,34
,1564243109,2,,1,3,,58,31,0,0,42,25,42,19,16,6,0,0,35
,1564243123,2,,1,3,,52,30,0,0,42,25,19,11,10,5,0,0,36
,1564243136,2,,1,3,,176,34,10,6,92,25,150,27,84,9,0,0,37
,1564243163,2,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,38
,1564243170,2,,1,3,,221,33,7,3,120,25,142,13,101,8,0,0,39
,1564243203,2,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,40
,1564243210,2,,1,3,,22,22,1,1,16,16,12,12,6,6,0,0,41
,1564243216,2,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,42
,1564243223,2,,1,3,,169,38,6,2,100,25,98,16,69,13,0,0,43
,1564243256,2,,1,3,,466,28,13,1,369,25,307,6,97,3,0,0,44
,1564243356,2,,1,3,,200,26,7,0,162,25,144,13,38,1,0,0,45
,1564243404,2,,1,3,,241,25,7,0,154,25,126,4,87,0,0,0,46
,1564243452,2,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,47
,1564243458,2,,1,3,,222,25,6,0,170,25,183,21,52,0,0,0,48
,1564243505,2,,1,3,,269,31,8,2,151,25,163,11,118,6,0,0,49
,1564243525,2,,1,3,,69,33,6,4,49,25,26,9,20,8,0,0,50
,1564243538,2,,1,3,,214,32,10,4,147,25,133,25,67,7,0,0,51
,1564243579,2,,1,3,,189,28,7,1,123,25,104,11,66,3,0,0,52
,1564243612,2,,1,3,,73,29,3,3,52,25,53,22,21,4,0,0,53
,1564243632,2,,1,3,,65,41,0,0,37,25,35,19,28,16,0,0,54
,1564243646,2,,1,3,,130,31,10,4,81,25,119,28,49,6,0,0,55
,1564243673,2,,1,3,,277,29,7,1,218,25,152,10,59,4,0,0,56
,1564243686,2,,1,3,,223,30,8,2,125,25,123,9,98,5,0,0,57
,1564243726,2,,1,3,,999,29,15,0,729,25,521,22,270,4,0,0,58
,1564243928,2,,1,3,,286,28,10,2,198,25,203,18,88,3,0,0,59
,1564243981,2,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,60
,1564243988,2,,1,3,,126,37,4,1,64,25,74,22,62,12,0,0,61
