,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19
Topic 0,insurance,data,companies,industry,premiums,privacy,steps,insurers,share,sleep,night,use,lower,healthcare,way,people,disease,used,based,health
Topic 1,insurance,data,companies,health,using,use,lifestyle,technology,ai,company,need,ways,control,privacy,policies,industry,doctor,people,like,going
Topic 2,data,health,https,care,ai,target,used,insurance,information,patients,www,people,sharing,want,medical,href,_blank,access,person,coverage
Topic 3,medical,data,records,make,people,ai,decisions,let,companies,hipaa,use,human,car,thing,taken,levels,available,technology,based,information
Topic 4,insurance,data,health,universal,big,way,premiums,loss,life,believe,got,healthcare,insurers,coverage,just,make,medicine,people,care,healthy
Topic 5,ai,data,just,use,good,people,cells,time,internet,targeted,micro,like,insurance,monitoring,technologies,need,don,business,doesn,information
Topic 6,data,health,care,companies,insurance,real,people,algorithm,medical,records,profit,doctor,patient,mr,miner,way,algorithms,company,ai,make
Topic 7,ai,data,privacy,health,use,profit,information,work,making,people,way,care,make,just,social,need,like,good,decision,using
Topic 8,insurance,car,costs,driving,like,health,risk,good,people,premiums,drivers,stop,really,years,make,cars,care,world,bad,facebook
Topic 9,bad,information,insurance,data,company,time,just,like,industry,use,set,eating,don,know,day,agree,using,way,speed,article
Topic 10,insurance,risk,companies,people,premiums,pay,pool,higher,rates,company,lower,high,algorithm,premium,ai,industry,test,good,claims,costs
Topic 11,say,data,benefits,health,people,hipaa,information,medical,does,insurance,steps,ve,world,bank,privacy,income,ai,used,cost,going
Topic 12,insurance,data,people,health,profit,healthcare,good,research,companies,benefit,make,information,like,patient,life,access,use,just,miner,industry
Topic 13,big,want,insurance,ai,government,pay,power,healthcare,change,new,end,control,interests,health,individual,people,did,corporate,risk,society
Topic 14,data,insurance,don,people,health,individual,want,medical,company,work,like,car,diagnosis,used,just,help,care,driving,good,employer
Topic 15,insurance,health,companies,data,care,risk,company,time,just,single,want,information,use,make,healthcare,payer,employers,employees,government,customers
Topic 16,data,information,share,health,corporations,companies,hipaa,profit,real,sharing,healthcare,research,actually,know,ai,problem,good,poor,live,results
Topic 17,people,don,ai,just,algorithms,insurance,type,based,know,doesn,think,life,fitbit,wear,human,medical,like,way,data,machine
Topic 18,data,medical,health,information,author,companies,tech,privacy,research,time,access,away,user,records,allow,individuals,question,years,collect,online
Topic 19,insurance,people,capitalism,state,farm,amazon,health,person,risk,just,algorithm,human,information,don,problem,use,data,need,like,numbers
Topic 20,want,discrimination,genetic,people,longer,don,just,privacy,basis,believe,got,behavior,like,health,live,price,tests,entirely,caught,insurance
Topic 21,data,just,medical,people,business,research,new,control,ai,used,especially,understand,right,using,make,companies,like,algorithms,way,years
Topic 22,information,data,medical,privacy,patient,don,law,security,cancer,online,making,future,got,dna,companies,hacked,stolen,maybe,records,testing
Topic 23,data,insurance,companies,need,health,know,privacy,people,information,ai,use,business,big,records,control,don,like,think,risks,using
Topic 24,privacy,data,buy,life,ai,people,cash,use,need,health,just,app,claim,thing,care,article,day,probably,medicine,write
